a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
2,6,2,1,0,18,0,0,0,16,5,14,1,1,0,0
3,3,0,3,0,-7,0,0,2,4,3,26,4,0,1,3
5,3,1,3,0,2,0,0,1,9,6,16,1,1,0,0
4,6,0,1,0,110,0,0,2,9,11,17,2,0,1,3
5,3,2,3,0,13,0,0,2,9,8,21,1,1,0,0
3,7,0,1,0,9,0,0,2,7,11,25,1,0,1,3
5,3,1,3,0,185,0,0,2,9,7,5,2,1,0,0
3,3,0,3,0,18,1,0,2,12,4,14,4,0,1,2
4,4,0,0,0,2,0,0,2,31,6,16,1,1,0,0
4,3,0,3,0,2,0,0,2,18,11,20,2,1,0,0
3,3,2,3,0,177,1,0,2,19,10,20,1,1,0,0
3,10,0,1,0,0,0,0,2,29,7,20,2,1,0,0
3,7,0,1,0,1,1,0,2,7,4,25,2,0,1,2
4,3,0,3,1,-2,0,1,2,1,6,8,1,1,0,0
3,0,2,1,0,2,0,1,2,9,6,30,2,1,0,0
3,7,0,1,0,15,1,1,0,19,4,24,1,1,0,0
3,3,1,3,0,176,0,0,2,21,6,22,1,1,0,0
4,10,0,1,0,6,0,0,2,13,7,14,7,1,0,0
3,11,2,1,0,2,0,0,0,13,4,10,2,1,0,0
6,9,1,1,0,16,0,0,2,4,11,17,1,0,1,3
3,3,0,3,0,17,1,0,2,2,4,9,4,0,1,2
3,3,0,3,0,-1,1,0,2,27,4,5,1,1,0,0
2,7,2,1,0,8,1,0,2,11,1,11,1,0,1,2
3,3,2,3,0,24,0,0,2,6,8,13,1,0,1,2
4,3,0,3,0,54,0,0,0,3,5,38,2,1,0,0
3,7,0,2,0,26,1,0,2,2,1,8,4,0,1,1
6,9,0,2,1,8,0,0,2,24,6,25,1,1,0,0
4,3,2,3,0,8,0,0,2,22,6,17,1,1,0,0
3,3,0,1,0,13,1,0,0,13,4,23,2,1,0,0
2,7,0,1,0,0,1,0,2,22,6,39,1,1,0,0
3,3,0,3,0,1,0,0,2,9,11,26,1,0,1,2
4,3,0,3,0,20,0,0,0,9,5,14,1,1,0,0
3,0,0,1,0,16,1,0,0,28,4,5,2,1,0,0
3,5,0,3,1,-1,1,0,0,28,4,7,3,1,0,0
3,11,0,1,0,27,1,0,2,9,4,16,1,0,1,2
4,1,0,0,0,2,0,0,0,17,5,6,1,1,0,0
4,7,0,2,0,26,1,0,0,17,5,38,1,1,0,0
3,11,0,1,0,15,1,0,0,9,4,70,2,1,0,0
3,3,0,3,0,183,1,0,2,18,1,8,1,1,0,0
